,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
2485,Texas,Lee County,16850,23.2,63.7,11.0,0.0,0.9,0.0,26740,13.8,26.5,22.6,23.1,13.1,14.7,76.8,13.9,0.0,1.6,1.1,6.6,25.7,72.2,15.7,11.7,0.4,4.5,209876.03465848704
2487,Texas,Liberty County,79884,21.9,65.8,10.0,0.3,0.6,0.0,22153,16.2,24.7,14.9,22.0,18.1,20.3,88.9,6.5,0.3,1.0,1.2,2.2,36.9,79.3,13.9,6.5,0.3,7.8,162163.56089634437
2488,Texas,Limestone County,23480,21.3,59.2,17.6,0.3,0.7,0.0,21093,20.7,27.3,22.1,19.8,12.4,18.4,83.1,10.9,0.0,1.3,1.0,3.6,21.3,64.3,25.7,10.0,0.0,10.3,100072.63988619403
2489,Texas,Live Oak County,12043,38.8,57.6,2.4,0.0,0.6,0.0,22847,16.3,25.2,16.4,25.4,16.8,16.2,79.4,10.7,0.0,1.7,2.4,5.7,33.5,71.0,15.8,12.2,1.0,3.8,145844.27437010925
2490,Texas,Llano County,20195,9.8,87.1,0.7,0.1,0.4,0.0,35680,12.5,31.3,21.1,25.3,14.2,8.1,72.1,15.0,0.0,2.6,1.0,9.4,24.4,73.2,12.2,14.2,0.3,8.3,265200.8538477639
2491,Texas,Lubbock County,298042,34.5,54.5,6.9,0.4,2.1,0.1,26196,18.8,35.0,19.9,25.3,9.9,9.8,81.2,12.3,0.9,1.9,1.2,2.5,17.3,78.1,16.1,5.7,0.1,4.8,146380.07809707598
2493,Texas,McCulloch County,8145,31.6,62.2,2.0,0.0,0.0,0.0,23398,16.3,23.2,21.0,22.1,19.7,13.9,82.8,12.3,0.1,3.0,0.1,1.8,15.9,68.5,17.7,13.2,0.6,3.2,90292.71116182803
2494,Texas,McLennan County,245720,25.6,56.7,14.2,0.2,1.5,0.0,24273,19.3,32.8,18.5,24.8,10.8,13.2,82.4,10.7,0.4,1.7,1.2,3.6,19.4,81.0,13.2,5.6,0.2,5.1,139391.98070121216
2495,Texas,Madison County,13979,22.4,55.8,17.4,0.1,1.1,0.2,17436,15.4,28.6,23.2,19.7,14.9,13.6,76.3,12.6,0.0,7.3,0.6,3.3,23.4,67.2,21.2,10.8,0.8,3.1,156028.92538592604
2496,Texas,Marion County,10140,3.9,70.9,23.7,0.3,0.0,0.2,25933,22.3,28.7,19.1,21.8,13.0,17.4,83.7,7.9,0.0,1.1,2.0,5.3,31.4,73.3,16.4,10.1,0.2,10.7,124072.46254826781
2497,Texas,Mason County,4122,24.3,71.9,0.0,0.3,2.5,0.0,24519,12.6,21.0,24.1,23.5,23.8,7.6,74.9,13.5,0.0,5.6,1.5,4.5,20.2,74.8,7.5,17.3,0.4,2.8,169634.6708332625
2498,Texas,Matagorda County,36744,41.4,44.9,10.2,0.4,2.0,0.1,23294,20.6,23.9,18.9,21.8,18.2,17.3,82.5,11.1,0.9,2.2,1.1,2.1,21.7,79.5,14.4,6.0,0.1,6.4,157885.4465253572
2501,Texas,Midland County,159883,43.2,47.3,5.9,0.4,1.8,0.0,38545,8.7,34.4,14.5,23.4,16.7,11.0,85.1,9.8,0.2,0.8,1.6,2.4,19.5,82.9,9.7,7.3,0.2,3.5,220022.41108989003
2502,Texas,Milam County,24479,25.8,62.9,8.4,0.1,0.5,0.0,22911,16.0,28.9,17.8,20.5,18.0,14.8,80.8,13.3,0.3,0.6,0.3,4.7,27.2,73.1,19.3,7.4,0.3,5.5,149889.46401532635
